resolved_timestamp,event_slug,series_slug,asset,timeframe,market_type,threshold_price,winning_outcome
2026-03-06T09:51:53Z,btc-updown-5m-1772790300,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:51:53Z,sol-updown-5m-1772790300,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T09:51:53Z,eth-updown-5m-1772790300,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:57:08Z,sol-updown-5m-1772790600,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T09:57:08Z,xrp-updown-5m-1772790600,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T09:57:08Z,btc-updown-5m-1772790600,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T09:58:12Z,eth-updown-5m-1772790600,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T10:04:32Z,eth-updown-15m-1772790300,eth-up-or-down-15m,ETH,15m,up_down,,Up
2026-03-06T10:04:32Z,eth-updown-5m-1772790900,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T10:04:32Z,btc-updown-5m-1772790900,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T10:04:32Z,sol-updown-5m-1772790900,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T10:04:32Z,btc-updown-15m-1772790300,btc-up-or-down-15m,BTC,15m,up_down,,Up
2026-03-06T10:04:32Z,sol-updown-15m-1772790300,sol-up-or-down-15m,SOL,15m,up_down,,Up
2026-03-06T10:05:35Z,xrp-updown-15m-1772790300,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T10:05:35Z,xrp-updown-5m-1772790900,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T10:07:41Z,eth-updown-5m-1772791200,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T10:07:41Z,btc-updown-5m-1772791200,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T10:07:41Z,xrp-updown-5m-1772791200,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T10:07:41Z,sol-updown-5m-1772791200,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T10:12:59Z,btc-updown-5m-1772791500,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T10:12:59Z,sol-updown-5m-1772791500,sol-up-or-down-5m,SOL,5m,up_down,,Up
